path_id,source_node,narrative_node,root_cause_node,decision_node,outcome_node,samples,weighted_samples,hit_rate_24h,avg_signed_return_24h_pct,reliability_score,verdict
EVIDENCE_SOURCE:FEDERAL_RESERVE_PRESS -> NARRATIVE:NO_NARRATIVE_NEUTRAL_NO_THEME -> ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH -> DECISION_CONTEXT:NEUTRAL_0_SCORE_30_39 -> OUTCOME:ROOT_CAUSE_HIT_24H,EVIDENCE_SOURCE:FEDERAL_RESERVE_PRESS,NARRATIVE:NO_NARRATIVE_NEUTRAL_NO_THEME,ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,DECISION_CONTEXT:NEUTRAL_0_SCORE_30_39,OUTCOME:ROOT_CAUSE_HIT_24H,3,2.8508,100.0,2.5841,7.6841,LOW_SAMPLE_EDGE
EVIDENCE_SOURCE:FEDERAL_RESERVE_SPEECHES -> NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY -> ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH -> DECISION_CONTEXT:LONG_WATCHLIST_SCORE_70_79 -> OUTCOME:ROOT_CAUSE_HIT_24H,EVIDENCE_SOURCE:FEDERAL_RESERVE_SPEECHES,NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY,ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,DECISION_CONTEXT:LONG_WATCHLIST_SCORE_70_79,OUTCOME:ROOT_CAUSE_HIT_24H,1,0.9558,100.0,2.1886,7.2219,LOW_SAMPLE_EDGE
EVIDENCE_SOURCE:FEDERAL_RESERVE_SPEECHES -> NARRATIVE:NO_NARRATIVE_NEUTRAL_NO_THEME -> ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH -> DECISION_CONTEXT:LONG_0_SCORE_50_59 -> OUTCOME:ROOT_CAUSE_HIT_24H,EVIDENCE_SOURCE:FEDERAL_RESERVE_SPEECHES,NARRATIVE:NO_NARRATIVE_NEUTRAL_NO_THEME,ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,DECISION_CONTEXT:LONG_0_SCORE_50_59,OUTCOME:ROOT_CAUSE_HIT_24H,1,1.0592,100.0,1.9251,6.9584,LOW_SAMPLE_EDGE
EVIDENCE_SOURCE:FEDERAL_RESERVE_SPEECHES -> NARRATIVE:NO_NARRATIVE_NEUTRAL_NO_THEME -> ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH -> DECISION_CONTEXT:NEUTRAL_0_SCORE_30_39 -> OUTCOME:ROOT_CAUSE_HIT_24H,EVIDENCE_SOURCE:FEDERAL_RESERVE_SPEECHES,NARRATIVE:NO_NARRATIVE_NEUTRAL_NO_THEME,ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,DECISION_CONTEXT:NEUTRAL_0_SCORE_30_39,OUTCOME:ROOT_CAUSE_HIT_24H,1,1.1796,100.0,1.6197,6.653,LOW_SAMPLE_EDGE
EVIDENCE_SOURCE:FEDERAL_RESERVE_PRESS -> NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY -> ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH -> DECISION_CONTEXT:NEUTRAL_MONITOR_ONLY_SCORE_10_19 -> OUTCOME:ROOT_CAUSE_HIT_24H,EVIDENCE_SOURCE:FEDERAL_RESERVE_PRESS,NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY,ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,DECISION_CONTEXT:NEUTRAL_MONITOR_ONLY_SCORE_10_19,OUTCOME:ROOT_CAUSE_HIT_24H,1,0.9518,100.0,1.403,6.4363,LOW_SAMPLE_EDGE
EVIDENCE_SOURCE:FEDERAL_RESERVE_SPEECHES -> NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY -> ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH -> DECISION_CONTEXT:NEUTRAL_MONITOR_ONLY_SCORE_10_19 -> OUTCOME:ROOT_CAUSE_HIT_24H,EVIDENCE_SOURCE:FEDERAL_RESERVE_SPEECHES,NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY,ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,DECISION_CONTEXT:NEUTRAL_MONITOR_ONLY_SCORE_10_19,OUTCOME:ROOT_CAUSE_HIT_24H,1,0.9518,100.0,1.403,6.4363,LOW_SAMPLE_EDGE
EVIDENCE_SOURCE:AUTO_EVENTS -> NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY -> ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH -> DECISION_CONTEXT:NEUTRAL_MONITOR_ONLY_SCORE_10_19 -> OUTCOME:ROOT_CAUSE_HIT_24H,EVIDENCE_SOURCE:AUTO_EVENTS,NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY,ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,DECISION_CONTEXT:NEUTRAL_MONITOR_ONLY_SCORE_10_19,OUTCOME:ROOT_CAUSE_HIT_24H,1,0.9518,100.0,1.403,6.4363,LOW_SAMPLE_EDGE
EVIDENCE_SOURCE:FEDERAL_RESERVE_SPEECHES -> NARRATIVE:NO_NARRATIVE_NEUTRAL_NO_THEME -> ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH -> DECISION_CONTEXT:LONG_0_SCORE_60_69 -> OUTCOME:ROOT_CAUSE_HIT_24H,EVIDENCE_SOURCE:FEDERAL_RESERVE_SPEECHES,NARRATIVE:NO_NARRATIVE_NEUTRAL_NO_THEME,ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,DECISION_CONTEXT:LONG_0_SCORE_60_69,OUTCOME:ROOT_CAUSE_HIT_24H,1,1.0755,100.0,1.0821,6.1154,LOW_SAMPLE_EDGE
EVIDENCE_SOURCE:FEDERAL_RESERVE_PRESS -> NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY -> ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH -> DECISION_CONTEXT:LONG_WATCHLIST_SCORE_70_79 -> OUTCOME:ROOT_CAUSE_HIT_24H,EVIDENCE_SOURCE:FEDERAL_RESERVE_PRESS,NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY,ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,DECISION_CONTEXT:LONG_WATCHLIST_SCORE_70_79,OUTCOME:ROOT_CAUSE_HIT_24H,3,2.8952,100.0,0.9651,6.0651,LOW_SAMPLE_EDGE
EVIDENCE_SOURCE:AUTO_EVENTS -> NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY -> ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH -> DECISION_CONTEXT:LONG_WATCHLIST_SCORE_70_79 -> OUTCOME:ROOT_CAUSE_HIT_24H,EVIDENCE_SOURCE:AUTO_EVENTS,NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY,ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,DECISION_CONTEXT:LONG_WATCHLIST_SCORE_70_79,OUTCOME:ROOT_CAUSE_HIT_24H,3,2.8952,100.0,0.9651,6.0651,LOW_SAMPLE_EDGE
EVIDENCE_SOURCE:FEDERAL_RESERVE_SPEECHES -> NARRATIVE:NO_NARRATIVE_NEUTRAL_NO_THEME -> ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH -> DECISION_CONTEXT:NEUTRAL_0_SCORE_20_29 -> OUTCOME:ROOT_CAUSE_HIT_24H,EVIDENCE_SOURCE:FEDERAL_RESERVE_SPEECHES,NARRATIVE:NO_NARRATIVE_NEUTRAL_NO_THEME,ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,DECISION_CONTEXT:NEUTRAL_0_SCORE_20_29,OUTCOME:ROOT_CAUSE_HIT_24H,3,3.5199,100.0,0.6404,5.7404,LOW_SAMPLE_EDGE
EVIDENCE_SOURCE:FEDERAL_RESERVE_PRESS -> NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY -> ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH -> DECISION_CONTEXT:LONG_WATCHLIST_SCORE_60_69 -> OUTCOME:ROOT_CAUSE_HIT_24H,EVIDENCE_SOURCE:FEDERAL_RESERVE_PRESS,NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY,ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,DECISION_CONTEXT:LONG_WATCHLIST_SCORE_60_69,OUTCOME:ROOT_CAUSE_HIT_24H,2,1.9117,100.0,0.6676,5.7343,LOW_SAMPLE_EDGE
EVIDENCE_SOURCE:MANUAL_EVENTS -> NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY -> ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH -> DECISION_CONTEXT:LONG_WATCHLIST_SCORE_60_69 -> OUTCOME:ROOT_CAUSE_HIT_24H,EVIDENCE_SOURCE:MANUAL_EVENTS,NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY,ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,DECISION_CONTEXT:LONG_WATCHLIST_SCORE_60_69,OUTCOME:ROOT_CAUSE_HIT_24H,2,1.9117,100.0,0.6676,5.7343,LOW_SAMPLE_EDGE
EVIDENCE_SOURCE:AUTO_EVENTS -> NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY -> ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH -> DECISION_CONTEXT:LONG_WATCHLIST_SCORE_60_69 -> OUTCOME:ROOT_CAUSE_HIT_24H,EVIDENCE_SOURCE:AUTO_EVENTS,NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY,ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,DECISION_CONTEXT:LONG_WATCHLIST_SCORE_60_69,OUTCOME:ROOT_CAUSE_HIT_24H,2,1.9117,100.0,0.6676,5.7343,LOW_SAMPLE_EDGE
EVIDENCE_SOURCE:FEDERAL_RESERVE_PRESS -> NARRATIVE:NO_NARRATIVE_NEUTRAL_NO_THEME -> ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH -> DECISION_CONTEXT:SHORT_0_SCORE_50_59 -> OUTCOME:ROOT_CAUSE_HIT_24H,EVIDENCE_SOURCE:FEDERAL_RESERVE_PRESS,NARRATIVE:NO_NARRATIVE_NEUTRAL_NO_THEME,ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,DECISION_CONTEXT:SHORT_0_SCORE_50_59,OUTCOME:ROOT_CAUSE_HIT_24H,1,0.954,100.0,0.6924,5.7257,LOW_SAMPLE_EDGE
EVIDENCE_SOURCE:FEDERAL_RESERVE_SPEECHES -> NARRATIVE:NO_NARRATIVE_NEUTRAL_NO_THEME -> ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH -> DECISION_CONTEXT:LONG_0_SCORE_70_79 -> OUTCOME:ROOT_CAUSE_HIT_24H,EVIDENCE_SOURCE:FEDERAL_RESERVE_SPEECHES,NARRATIVE:NO_NARRATIVE_NEUTRAL_NO_THEME,ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,DECISION_CONTEXT:LONG_0_SCORE_70_79,OUTCOME:ROOT_CAUSE_HIT_24H,1,1.0863,100.0,0.6667,5.7,LOW_SAMPLE_EDGE
EVIDENCE_SOURCE:FEDERAL_RESERVE_PRESS -> NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY -> ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH -> DECISION_CONTEXT:NEUTRAL_MONITOR_ONLY_SCORE_30_39 -> OUTCOME:ROOT_CAUSE_HIT_24H,EVIDENCE_SOURCE:FEDERAL_RESERVE_PRESS,NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY,ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,DECISION_CONTEXT:NEUTRAL_MONITOR_ONLY_SCORE_30_39,OUTCOME:ROOT_CAUSE_HIT_24H,1,0.9607,100.0,0.5747,5.608,LOW_SAMPLE_EDGE
EVIDENCE_SOURCE:MANUAL_EVENTS -> NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY -> ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH -> DECISION_CONTEXT:NEUTRAL_MONITOR_ONLY_SCORE_30_39 -> OUTCOME:ROOT_CAUSE_HIT_24H,EVIDENCE_SOURCE:MANUAL_EVENTS,NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY,ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,DECISION_CONTEXT:NEUTRAL_MONITOR_ONLY_SCORE_30_39,OUTCOME:ROOT_CAUSE_HIT_24H,1,0.9607,100.0,0.5747,5.608,LOW_SAMPLE_EDGE
EVIDENCE_SOURCE:AUTO_EVENTS -> NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY -> ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH -> DECISION_CONTEXT:NEUTRAL_MONITOR_ONLY_SCORE_30_39 -> OUTCOME:ROOT_CAUSE_HIT_24H,EVIDENCE_SOURCE:AUTO_EVENTS,NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY,ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,DECISION_CONTEXT:NEUTRAL_MONITOR_ONLY_SCORE_30_39,OUTCOME:ROOT_CAUSE_HIT_24H,1,0.9607,100.0,0.5747,5.608,LOW_SAMPLE_EDGE
EVIDENCE_SOURCE:FEDERAL_RESERVE_SPEECHES -> NARRATIVE:NO_NARRATIVE_NEUTRAL_NO_THEME -> ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH -> DECISION_CONTEXT:NEUTRAL_0_SCORE_40_49 -> OUTCOME:ROOT_CAUSE_HIT_24H,EVIDENCE_SOURCE:FEDERAL_RESERVE_SPEECHES,NARRATIVE:NO_NARRATIVE_NEUTRAL_NO_THEME,ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,DECISION_CONTEXT:NEUTRAL_0_SCORE_40_49,OUTCOME:ROOT_CAUSE_HIT_24H,3,3.4987,100.0,0.3534,5.4534,LOW_SAMPLE_EDGE
